Issue Date,Applied Date,Permit Type,Property Class,Permit Class,Work Class,Status Current,Total Job Valuation,Housing Units,Number Of Floors,Council District,Original Zip,Latitude,Longitude,Contractor Company Name,Fiscal Year Issued,Calendar Year Issued,Has Valuation
2020-09-14,2020-09-08,Plumbing Permit,Residential,Residential,Change Out,Final,,,,5,78745.0,30.21865525,-97.80224091,G & M Plumbing,2020,2020,No
2020-09-25,2020-09-23,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,1,78653.0,,,,2020,2020,No
2020-09-29,2020-08-25,Plumbing Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,7,78758.0,,,Kilgore Industries,2020,2020,No
2020-09-15,2020-09-10,Electrical Permit,Residential,Residential,Auxiliary Power,Final,,1.0,1.0,Unknown,78733.0,30.30821035,-97.88679776,,2020,2020,No
2020-09-08,2020-09-04,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,2,78748.0,30.18496544,-97.79424662,A-One Electric,2020,2020,No
2020-09-22,2020-09-21,Electrical Permit,Residential,Residential,Upgrade,Final,,1.0,1.0,Unknown,78728.0,30.44168699,-97.67944752,Lightning Volts Electrical Service,2020,2020,No
2020-09-08,2020-05-13,Plumbing Permit,Commercial,"C- 324 Office, Bank & Professional Bldgs",New,Final,,1.0,1.0,1,78721.0,,,Coppera Plumbing & Commercial Services,2020,2020,No
2020-09-28,2020-04-02,Building Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,9,78705.0,30.30100428,-97.74057224,Image General Contracting,2020,2020,No
2020-09-18,2020-09-17,Mechanical Permit,Residential,Residential,Change Out,Final,,,,4,78758.0,30.37603516,-97.69571591,Totally Cool,2020,2020,No
2020-09-18,2020-08-24,Plumbing Permit,Residential,R- 434 Addition & Alterations,Addition and Remodel,Final,,0.0,0.0,6,78750.0,30.42591839,-97.80599862,Palencia Plumbing Llc,2020,2020,No
2020-09-28,2020-06-11,Driveway / Sidewalks,Residential,Res. Driveway & Sidewalk,New,Final,,,,1,78660.0,30.40097496,-97.61360936,D R Horton Homes,2020,2020,No
2020-09-17,2020-08-24,Building Permit,Commercial,C- 329 Com Structures Other Than Bldg,New,Final,26272.0,2.0,1.0,3,78741.0,30.23213352,-97.69934509,Usa Shade & Fabric Structures Inc,2020,2020,Yes
2020-08-28,2020-08-11,Electrical Permit,Residential,R- 434 Addition & Alterations,Addition and Remodel,Final,,0.0,0.0,7,78757.0,30.35143677,-97.7435359,"Mighty Fortress Electric, Llc",2020,2020,No
2020-09-10,2020-09-10,Mechanical Permit,Residential,Residential,Change Out,Final,,,,8,78739.0,30.18366778,-97.88880193,Temperature Pro West Austin,2020,2020,No
2020-09-16,2020-03-05,Plumbing Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,5,78745.0,30.2310247,-97.7973052,Gulf States Plumbing & Mech Inc,2020,2020,No
2020-09-02,2020-06-01,Building Permit,Residential,R- 438 Residential Garage/Carport Addn,New,Final,1.0,0.0,2.0,3,78702.0,30.25628422,-97.73313042,Hunter Wheeler Homes Inc **Main**,2020,2020,Yes
2020-08-28,2020-08-19,Mechanical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,2.0,2,78744.0,30.14136334,-97.71687773,Ies Residential Inc,2020,2020,No
2020-09-25,2020-09-23,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78747.0,30.1379805,-97.76069306,,2020,2020,No
2020-09-01,2020-06-11,Plumbing Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,1.0,1,78660.0,30.40175504,-97.6130416,Christianson Plumbing,2020,2020,No
2020-09-30,2020-09-23,Plumbing Permit,Residential,Residential,Repair,Final,,0.0,1.0,3,78741.0,,,Abc Home & Commercial Service,2020,2020,No
2020-09-03,2020-05-13,Building Permit,Commercial,C- 329 Com Structures Other Than Bldg,New,Final,70000.0,1.0,1.0,9,78705.0,30.29078005,-97.72357434,"Monarch Pools, Inc",2020,2020,Yes
2020-09-03,2020-09-01,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,7,78660.0,30.43773165,-97.65309355,,2020,2020,No
2020-09-02,2020-09-01,Electrical Permit,Residential,Residential,New,Final,,1.0,1.0,Unknown,78724.0,30.31771486,-97.62286727,Allen Bebee Electric,2020,2020,No
2020-08-27,2020-06-25,Electrical Permit,Residential,Residential,Auxiliary Power,Final,,1.0,1.0,Unknown,78748.0,30.16849816,-97.83541554,,2020,2020,No
2020-09-28,2020-07-24,Mechanical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,1.0,1,78653.0,,,Air Temp Solutions,2020,2020,No
2020-09-18,2019-10-14,Building Permit,Residential,R- 329 Res Structures Other Than Bldg,New,Final,0.0,1.0,1.0,10,78732.0,30.41814038,-97.88674629,,2020,2020,No
2020-09-15,2020-03-17,Electrical Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,2.0,2,78744.0,,,Novo Construction **Main**,2020,2020,No
2020-09-01,2019-05-30,Driveway / Sidewalks,Residential,Res. Driveway,New,Final,,,,5,78704.0,30.25635027,-97.77920908,Joseph Design Build**Main***,2020,2020,No
2020-09-29,2020-09-15,Building Permit,Residential,R- 435 Renovations/Remodel,Repair,Final,10000.0,1.0,1.0,4,78758.0,30.37578145,-97.69608447,4L Construction,2020,2020,Yes
2020-09-08,2020-09-01,Electrical Permit,Residential,Residential,Upgrade,Final,,1.0,1.0,7,78757.0,30.34269752,-97.73137517,Duhon Electric,2020,2020,No
2020-09-22,2020-03-13,Building Permit,Residential,R- 435 Renovations/Remodel,Repair,Final,5978.0,1.0,1.0,4,78753.0,30.36147772,-97.67216504,Renewal By Andersen,2020,2020,Yes
2020-09-21,2020-09-21,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,10,78750.0,30.39445039,-97.8004782,Jonestown Electrical Solutions Llc,2020,2020,No
2020-09-02,2019-10-04,Plumbing Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,1,78752.0,,,Coppera Plumbing & Commercial Services,2020,2020,No
2020-09-16,2020-06-03,Building Permit,Residential,R- 434 Addition & Alterations,Addition and Remodel,Final,1.0,1.0,3.0,10,78703.0,30.2872954,-97.75674186,Koch Construction **Main,2020,2020,Yes
2020-09-18,2020-09-18,Plumbing Permit,Residential,Residential,New,Final,,1.0,1.0,Unknown,78617.0,30.16407894,-97.63373755,Victory Plumbing Company,2020,2020,No
2020-09-02,2020-08-28,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,5,78745.0,30.23003788,-97.79372362,,2020,2020,No
2020-09-08,2020-07-21,Building Permit,Commercial,C- 329 Com Structures Other Than Bldg,New,Final,48000.0,1.0,1.0,3,78725.0,,,"Fun N Sun Pools Of Austin, Inc.",2020,2020,Yes
2020-08-31,2020-06-30,Plumbing Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,7,78727.0,,,"Lmh Plumbing, Inc",2020,2020,No
2020-08-28,2019-01-25,Electrical Permit,Commercial,"C- 437 Addn, Alter, Convn-NonRes",Addition and Remodel,Final,,0.0,0.0,3,78702.0,30.26441784,-97.69843894,Tumlinson Electric,2020,2020,No
2020-09-18,2020-09-08,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,1,78724.0,30.29222184,-97.65192067,Med-Tex Electric,2020,2020,No
2020-08-31,2020-06-22,Electrical Permit,Residential,R- 434 Addition & Alterations,Addition and Remodel,Final,,1.0,2.0,9,78704.0,30.23756839,-97.74264278,Allison Electric,2020,2020,No
2020-09-21,2020-01-08,Building Permit,Residential,R- 101 Single Family Houses,New,Final,253500.0,1.0,2.0,1,78721.0,30.2767234,-97.69578664,"Psw Gc, Llc",2020,2020,Yes
2020-09-22,2020-08-26,Building Permit,Residential,R- 101 Single Family Houses,New,Final,700000.0,1.0,2.0,8,78739.0,30.1865377,-97.92749701,South Austin Development Group Llc (Main),2020,2020,Yes
2020-09-09,2020-09-08,Mechanical Permit,Commercial,Commercial,Change Out,Final,,,,9,78751.0,,,"Stan'S Heating, Air, Plumbing, & Electrical",2020,2020,No
2020-09-04,2020-08-04,Building Permit,Commercial,C- 329 Com Structures Other Than Bldg,New,Final,9180.0,1.0,1.0,3,78702.0,30.26621233,-97.70345321,Bartlett Cocke General Contractors (Main),2020,2020,Yes
2020-09-28,2020-08-03,Mechanical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,1.0,1,78653.0,,,Air Temp Solutions,2020,2020,No
2020-09-29,2020-08-19,Plumbing Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,2.0,1,78653.0,30.29656024,-97.5563871,Mustang Plumbing,2020,2020,No
2020-09-25,2020-08-17,Electrical Permit,Residential,Residential,Auxiliary Power,Final,,1.0,1.0,2,78747.0,30.13870167,-97.76222753,,2020,2020,No
2020-09-10,2020-08-25,Building Permit,Residential,R- 435 Renovations/Remodel,Repair,Final,6000.0,1.0,1.0,5,78745.0,30.20147159,-97.82124243,Modified Access Cons,2020,2020,Yes
2020-09-09,2020-09-04,Mechanical Permit,Residential,Residential,Change Out,Final,,,,8,78735.0,30.25727758,-97.87684163,"Stan'S Heating, Air, Plumbing, & Electrical",2020,2020,No
2020-09-21,2020-08-06,Building Permit,Residential,R- 329 Res Structures Other Than Bldg,New,Final,66000.0,1.0,0.0,8,78749.0,30.19877984,-97.85586503,Anthony & Sylvan Pools Corporation,2020,2020,Yes
2020-09-02,2019-06-05,Driveway / Sidewalks,Residential,Res. Sidewalk,New,Final,,,,1,78724.0,30.29110724,-97.64178438,Urban Intown Homes Llc,2020,2020,No
2020-09-29,2018-09-13,Mechanical Permit,Commercial,C- 105 Five or More Family Bldgs,Shell,Final,,387.0,16.0,1,78702.0,30.2711754,-97.73181677,City Wide Mechanical Inc.,2020,2020,No
2020-09-24,2020-07-30,Mechanical Permit,Residential,Residential,Change Out,Final,,,,8,78749.0,30.22602823,-97.87421282,"Sa&H Western Holdings, Llc",2020,2020,No
